ID,Title,Abstract,Year,Database,Journal,Screening_Reason,Sample_Size,Gender_Details,Age_Details,Race_Ethnicity_Details,Country_of_Study,Extraction_Notes,Assigned_Categories,Pediatrics (<=18),Young Adult (19-35),Middle-aged (36-60),Senior/Elderly (>60),Not Reported,Age Diversity Index
286,Kinematic analysis of motor dysfunction in Niemann-Pick type C.,"OBJECTIVE: To provide the first descriptive analysis of upper limb motor physiology in Niemann-Pick Type C disease (NP-C). METHODS: Fifteen patients with confirmed NP-C underwent motor physiology testing using accelerometry and surface EMG (sEMG). Tremor amplitude and frequency were quantified using accelerometry, and sEMG was examined for abnormal patterns consistent with various movement disorders. RESULTS: Forty-seven percent of patients had postural tremor in the upper limbs, generally bilateral, with frequencies ranging from 0.3 to 3 Hz, and an average amplitude of 1.20+/-0.98 mm. Eighty-seven percent of patients had bilateral action tremor with frequencies ranging from 2.0 to 3.7 Hz, and an average amplitude of 5.25+/-3.76 mm. sEMG revealed long but variable duration, variable amplitude muscle burst discharges during action in some patients, as well as short high frequency irregularly timed bursts in others. CONCLUSIONS: Accelerometric findings correlated with the clinical findings were most consistent with cerebellar outflow tremors. sEMG revealed a mix of dystonic, myoclonic and choreiform movements. SIGNIFICANCE: These quantitative methods may serve as ancillary measures of disease pathophysiology, markers of change over time, and methods to evaluate efficacy, and side effects, of new treatments as they are developed.",2007,PubMed,Clinical neurophysiology,This is a primary empirical study from 2007 that uses surface EMG as a core modality to collect original data from human patients with Niemann-Pick disease.,15,"7 males, 8 females","Mean 25 ± 10 years, range 12-42 years",Not reported,USA,"Participant demographics including sample size, gender, and age were explicitly stated in the 'Clinical findings' subsection of the 'Results' section. The country of study was identified in the 'Methods' section.","Clinical & Diagnostic, Biomechanics & Kinematics",1,1,1,0,0,30
287,"Electromyographic activity of masticatory, neck and trunk muscles of subjects with different skeletal facial morphology--a cross-sectional evaluation.","The electromyographic pattern activity of masticatory, neck and trunk muscles was assessed using surface electromyography (sEMG) in 60 Caucasian adult females (20 subjects in skeletal class I, 20 subjects in skeletal class II and 20 subjects in skeletal class III), classified on the base of their skeletal class (ANB angle), corrected on the base of maxillary and mandibular rotations. The sEMG activity was recorded at mandibular rest position and during maximal voluntary clenching. At mandibular rest position, the sEMG activities of masseter and anterior temporal muscles were significantly higher in class III subjects than in class I and class II subjects, that showed no significant difference between them. Then, the sEMG activities of posterior cervicals and upper trapezius were significantly higher in skeletal class III subjects than in the other two groups. During maximal voluntary clenching, no significant difference was observed in the sEMG activity of masticatory muscles among the three considered groups. However, the sEMG activities of posterior cervicals and upper trapezius were significantly higher in skeletal class III subjects than in the other two groups, which showed no significant difference between them. In conclusion, the skeletal class seems to affect the sEMG pattern activity of masticatory, neck and trunk muscles.",2007,PubMed,Journal of Oral Rehabilitation,"The study is primary empirical research using surface EMG as a core modality to collect original data from human participants, published in a peer-reviewed English journal in 2007.",60,60 Females,Mean age: 31.6 ± 4.8 years,60 Caucasian,Italy,"The primary demographic data including sample size, gender, age, and ethnicity were found in the 'The sample' subsection within the 'Subjects and methods' section. The country of study was also identified from this same subsection.",Biomechanics & Kinematics,0,1,1,0,0,9.6
288,Effects of two days of isokinetic training on strength and electromyographic amplitude in the agonist and antagonist muscles.,"The purpose of this study was to examine the effects of 2 days of isokinetic training of the forearm flexors and extensors on strength and electromyographic (EMG) amplitude for the agonist and antagonist muscles. Seventeen men (mean +/- SD age = 21.9 +/- 2.8 years) were randomly assigned to 1 of 2 groups: (a) a training group (TRN; n = 8), or (b) a control group (CTL; n = 9). The subjects in the TRN group were tested for maximal isometric and concentric isokinetic (randomly ordered velocities of 60, 180, and 300 degrees x s(-1)) torque of the dominant forearm flexors and extensors before (pretest) and after (posttest) 2 days of isokinetic strength training. Each training session involved 6 sets of 10 maximal concentric isokinetic muscle actions of the forearm flexors and extensors at a velocity of 180 degrees x s(-1). The subjects in the CTL group were also tested for strength but did not perform any training. Surface EMG signals were detected from the biceps brachii and triceps brachii muscles during the strength testing. The results indicated that there were no significant (p > 0.05) pre- to post-test changes in forearm flexion and extension torque or EMG amplitude for the agonist and antagonist muscles. Thus, unlike previous studies of the quadriceps femoris muscles, these findings for the forearm flexors and extensors suggested that 2 days of isokinetic training may not be sufficient to elicit significant increases in strength. These results may have implications for the number of visits that are required for rehabilitation after injury, surgery, or both.",2007,PubMed,The Journal of Strength and Conditioning Research,"The paper is a primary empirical study from 2007 using surface EMG as a core data collection method with human participants, satisfying all inclusion criteria.",17,17 men,Mean 21.9 ± 2.8 years,Not reported,USA,"Participant demographics including sample size, gender, and age were found in the 'Abstract' and the 'Subjects' subsection of the 'Methods' section. Race and ethnicity were not reported.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics",0,1,0,0,0,5.6
289,Force enhancement during and following muscle stretch of maximal voluntarily activated human quadriceps femoris.,"Force enhancement during and following muscle stretch has been observed for electrically and voluntarily activated human muscle. However, especially for voluntary contractions, the latter observation has only been made for adductor pollicis and the ankle joint muscles, but not for large muscles like quadriceps femoris. Therefore, the aim of this study was to investigate the effects of active muscle stretch on force production for maximal voluntary contractions of in vivo human quadriceps femoris (n = 15). Peak torques during and torques at the end of stretch, torques following stretch, and passive torques following muscle deactivation were compared to the isometric torques at corresponding muscle length. In addition, muscle activation of rectus femoris, vastus medialis and vastus lateralis was obtained using surface EMG. Stretches with different amplitudes (15, 25 and 35 degrees at a velocity of 60 degrees s(-1)) were performed on the plateau region and the descending limb of the force-length relation in a random order. Data analysis showed four main results: (1) peak torques did not occur at the end of the stretch, but torques at the end of the stretch exceeded the corresponding isometric torque; (2) there was no significant force enhancement following muscle stretch, but a small significant passive force enhancement persisted for all stretch conditions; (3) forces during and following stretch were independent of stretch amplitude; (4) muscle activation during and following muscle stretch was significantly reduced. In conclusion, although our results showed passive force enhancement, we could not provide direct evidence that there is active force enhancement in voluntarily activated human quadriceps femoris.",2007,PubMed,European Journal of Applied Physiology,"This is a primary empirical study on human participants (n=15) published in 2007, using surface EMG as a core modality to investigate muscle activation during force enhancement.",15,15 Males,range 22-30 years,Not reported,Germany,"Participant demographic information, including sample size, gender, and age range, was found in the 'Subjects' subsection within the 'Methods' section of the paper.",Biomechanics & Kinematics,0,1,0,0,0,8
290,Effects of movement imagery and electromyography-triggered feedback on arm hand function in stroke patients in the subacute phase.,"OBJECTIVE: To investigate the effects of movement imagery-assisted electromyography (EMG)-triggered feedback (focused on paretic wrist dorsiflexors) on the arm-hand function of stroke patients. DESIGN: Single-blinded, longitudinal, multicentre randomized controlled trial. Measurements were performed (on average) 54 days post stroke (baseline), three months later (post training) and at 12 months post baseline. SETTING: Two rehabilitation centres. SUBJECTS: Twenty-seven patients with a first-ever, ischaemic, subacute stroke. INTERVENTIONS: A reference group received conventional electrostimulation, while the experimental group received arm-hand function training based on EMG-triggered feedback combined with movement imagery. Both groups were trained for three months, 5 days/week, 30 minutes/day, in addition to their therapy as usual. MAIN MEASURES: Arm-hand function was evaluated using the upper extremity-related part of the Brunnstrom Fugl-Meyer test and the Action Research Arm test. RESULTS: During training, Brunnstrom Fugl-Meyer scores improved 8.7 points and Action Research Arm scores by 19.4 points (P < 0.0001) in both groups relative to baseline results, rising to 13.3 and 28.4 points respectively at one year follow-up (P < 0.0001). No between-group differences were found at any time. CONCLUSIONS: EMG-triggered feedback stimulation did not lead to more arm-hand function improvement relative to conventional electrostimulation. However, in contrast to many clinical reports, a significant improvement was still observed in both groups nine months after treatment ceased.",2007,PubMed,Clinical Rehabilitation,"The paper is a randomized controlled trial published in 2007 that uses EMG-triggered feedback as a core intervention for human stroke patients, meeting all inclusion criteria.",27,"16 Male, 11 Female","Mean 61.4 ± 12.5 years, range 31-76",Not reported,"The Netherlands, Belgium","Participant demographic data including sample size, age, and gender were found in the 'Subjects' section and explicitly detailed in Table 1, 'Group composition'.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy",0,1,1,1,0,45
291,"Are there differences in performance, metabolism, and quadriceps muscle activity in black African and Caucasian athletes during brief intermittent and intense exercise?","The purpose of the present study was to determine whether there are any differences in power output (PO) and/or quadriceps muscle (Quad) activity between black African and Caucasian football players during a force-velocity (fv) exercise test, which consisted of performing maximal 6-s sprints against an increasing load. Each subject started the test with a load of 2 kg and then recovered for 5 min before repeating the same test with a load increased by 2 kg. When the pedal frequency did not exceed 130 rev x min(-1), the load was increased by only 1 kg. Each subject attained the load corresponding to his maximal power if an additional increase in load (+1 kg) induced a power decrease. Nine black Africans (mean age 24.2 +/- 3.3 years) and nine Caucasians (24.7 +/- 4.2 years) (matched for stature and aerobic fitness) participated in the fv exercise test. During the test, PO, blood lactate, and the quadriceps electromyography (EMG) root mean square (Quad RMS) were assessed. Higher blood lactate was observed in Caucasians than in black Africans for POs over the load range from 4 kg up to the maximal power. However, PO and Quad RMS values were similar in Caucasians and black Africans. They also had similar lean leg volume (LLV) and consequently produced similar PO/LLV and Quad RMS/LLV values. Overall, our results suggest that Caucasians and black Africans matched for stature, VO(2max), and training background have similar PO and Quad RMS values, but different blood lactate concentrations during brief, intermittent, intense exercise performed on a cycloergometer.",2007,PubMed,The Journal of Physiological Sciences,"The study is original empirical research from 2007 that uses surface EMG as a core modality to compare muscle activity in human athletes, meeting all inclusion criteria.",18,18 Males,Black Africans: 24.2 ± 3.3 years; Caucasians: 24.7 ± 4.2 years,"9 black Africans from central African countries, 9 Caucasians",France,"Participant demographics, including sample size, age, and race/ethnicity, were explicitly stated in the 'Methods' section under the 'Subjects' subsection and presented in Table 1. Participant gender was inferred from the use of the pronoun 'his' and a formula specified for 'men'.","Biomechanics & Kinematics, Rehabilitation & Therapy, Sports & Ergonomics",0,1,0,0,0,8.4
292,Comparison of EMG activity between maximal manual muscle testing and cybex maximal isometric testing of the quadriceps femoris.,"Two methods have been used to produce a maximal voluntary isometric contraction (MVIC) of the superficial quadriceps femoris muscles for normalization of electromyographic (EMG) data. The purposes of this study were to compare the myoelectic activity of MVIC of manual muscle testing (MMT) versus Cybex maximal isometric testing. Eighteen normal subjects were recruited. MMT and Cybex testing for MVIC of the dominant leg were performed. EMG activities of the vastus medialis, vastus lateralis and rectus femoris were recorded during MMT and Cybex trials. EMG amplitude and median frequency obtained from the two methods (MMT and Cybex testing) were used for statistical analysis of these three muscles. Statistically, the difference in the mean of the EMG signal amplitude and median frequency between MMT and Cybex testing were not significant. Considering cost and time, MMT for MVIC technique appears to be reliable and highly valuable.",2008,PubMed,Journal of the Formosan Medical Association,"The study is a primary empirical investigation that collects original surface EMG data from human participants to compare two testing methods, published in English in 2008.",18,Not reported,Mean 24.3 ± 1.7 years,Not reported,Taiwan,"Participant demographic information was found in the 'Methods' section under the 'Subjects' subsection. This section provided sample size, mean age, height, and weight, but did not report on participant gender or race/ethnicity.",Biomechanics & Kinematics,0,1,0,0,0,3.4
293,Rapid muscle activation and force capacity in conditions of chronic musculoskeletal pain.,"BACKGROUND: The association between musculoskeletal pain and decreased maximal muscle strength capacity has been extensively studied, but knowledge about functional rapid force capacity in conditions of chronic musculoskeletal pain is lacking. The objective of this study is to investigate rapid muscle activation and force capacity of chronically painful muscles. METHODS: Cross-sectional study with 42 women with chronic trapezius myalgia, and 20 healthy matched controls. Maximal capacity was determined as peak torque and peak EMG amplitude of the painful trapezius and painfree deltoid muscles during the stable high-force phase of maximal voluntary shoulder abduction, whereas rapid capacity was determined as the steepest slope of the torque-time and EMG-time curves, defined as rate of torque development and rate of EMG rise. Intensity of pain was registered prior to the test on a visual-analogue-scale. FINDINGS: Peak torque was 18% lower at 115 degrees shoulder joint angle in women with myalgia compared with healthy controls (P<0.001), with a corresponding 29% lower level of peak EMG specifically of the painful trapezius muscle (P<0.001). Rate of torque development was 33-54% lower (P<0.001), with a corresponding 21-35% lower level of rate of EMG rise of both the painful trapezius and painfree deltoid (P<0.0001). Intensity of pain showed higher association with parameters of rapid capacity (R=-0.33 to -0.53, P<0.001-0.05) than with maximal capacity (R=-0.15 to -0.41, P<0.01-ns). INTERPRETATION: In conditions of chronic musculoskeletal pain, the ability to rapidly activate painful and painfree synergistic muscles is more severely impaired than maximal muscle activation. These findings have clinical relevance for rehabilitation of chronically painful muscles.",2008,PubMed,Clinical Biomechanics,"The study is a primary empirical investigation that uses surface EMG as a core data collection modality to compare muscle activation in human participants with and without chronic pain, published in a peer-reviewed English journal in 2008.",62,62 Females,Myalgia group (n=42): 44 ± 8 years; Control group (n=20): 45 ± 9 years,Not reported,Denmark,"Participant demographic information, including the total sample size, gender, and age breakdown by group, was found in the '2.1. Study design' subsection of the Methods. Race and ethnicity were not mentioned.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy",0,1,1,0,0,18
294,No difference in 1RM strength and muscle activation during the barbell chest press on a stable and unstable surface.,"Exercise or Swiss balls are increasingly being used with conventional resistance exercises. There is little evidence supporting the efficacy of this approach compared to traditional resistance training on a stable surface. Previous studies have shown that force output may be reduced with no change in muscle electromyography (EMG) activity while others have shown increased muscle EMG activity when performing resistance exercises on an unstable surface. This study compared 1RM strength, and upper body and trunk muscle EMG activity during the barbell chest press exercise on a stable (flat bench) and unstable surface (exercise ball). After familiarization, 13 subjects underwent testing for 1RM strength for the barbell chest press on both a stable bench and an exercise ball, each separated by at least 7 days. Surface EMG was recorded for 5 upper body muscles and one trunk muscle from which average root mean square of the muscle activity was calculated for the whole 1RM lift and the concentric and eccentric phases. Elbow angle during each lift was recorded to examine any range-of-motion differences between the two surfaces. The results show that there was no difference in 1RM strength or muscle EMG activity for the stable and unstable surfaces. In addition, there was no difference in elbow range-of-motion between the two surfaces. Taken together, these results indicate that there is no reduction in 1RM strength or any differences in muscle EMG activity for the barbell chest press exercise on an unstable exercise ball when compared to a stable flat surface. Moreover, these results do not support the notion that resistance exercises performed on an exercise ball are more efficacious than traditional stable exercises.",2008,PubMed,Journal of Strength and Conditioning Research,"The study is a peer-reviewed, primary empirical research article from 2008 that uses sEMG as a core modality to investigate muscle activation in human participants, meeting all inclusion criteria.",13,10 male and 3 females,24.1 ± 1.6 yrs,Not reported,Australia,"Participant demographic data, including sample size, gender, and age, was found in the 'Subjects' subsection of the 'Methods' section. Race/ethnicity was not reported.","Biomechanics & Kinematics, Rehabilitation & Therapy",0,1,0,0,0,3.2
295,Real-time monitoring of the recurrent laryngeal nerve: an observational clinical trial.,"BACKGROUND: A variety of tools has been developed to identify nerve structures and to lower the risk of nerval injury during thyroid surgery. These tools are usually based on intermittent electrophysiological tracing of the nerves, but its use is still associated with permanent recurrent laryngeal nerve (RLN) injury. We are now presenting the results of the implementation of a novel real-time nerve monitoring system, based on a new vagal nerve cuff electrode. METHODS: Nineteen consecutive patients scheduled for thyroid surgery (17 with benign, 2 with malignant disease), were enrolled in this observational trial. The flexible cuff electrode was implanted during each operation and atraumatically surrounded the vagal nerve. The evoked potentials were sensed by standard thyroid electrodes. Electrical stimulation and recording were achieved through a multichannel electromyography (EMG) system. The signal analysis was performed in real-time by specially designed software. RESULTS: The cuff electrode did not cause any complications during or after the surgery. In all patients, stable and reproducible signals were easily evoked. The mean time required to place the electrode was 6.5 min. The mean overall vagal nerve stimulation time was 65 min. No permanent RLN lesions were detected in any patient. One patient with a postoperative bleeding from a strap muscle vein required a wound revision, which was performed without nerve monitoring. This patient experienced a temporary partial impairment of the left vocal cord. No hypoparathyroidism was observed in any patient postoperatively. CONCLUSIONS: The presented technique of real-time continuous RLN monitoring by stimulation of the vagal nerve is feasible, safe, reproducible, and easy to perform. In addition, this new system is compatible with existing equipment and can be used as an add-on with conventional nerve monitoring devices during thyroid surgery.",2008,PubMed,Surgery,This is a primary empirical study from 2008 that collected original EMG data from human participants undergoing thyroid surgery to test a real-time nerve monitoring system.,19,"15 females, 4 males","Ages are listed individually in Table II, ranging from 30 to 73 years. Mean and standard deviation are not reported.",Not reported,Germany,"The total sample size was stated in the Methods section. Detailed demographic data, including age and sex for each of the 19 participants, were found in Table II. Race or ethnicity was not reported.",Clinical & Diagnostic,0,1,1,1,0,43
296,Electromyographic facial nerve monitoring during parotidectomy for benign lesions does not improve the outcome of postoperative facial nerve function: a prospective two-center trial.,"OBJECTIVES/HYPOTHESIS: To analyze the benefit of electromyographic (EMG) neuromonitoring during primary surgery on benign parotid lesions for postoperative facial function compared to visual observation only. STUDY DESIGN: Prospective controlled clinical two-center trial. METHODS: Using an operation microscope, 100 parotidectomies in 96 patients were performed: 50 procedures with a continuous EMG monitoring plus visual facial observation (EMG group), and 50 procedures with only visual facial control (control group). The rate of postoperative facial weakness was detected. Patients with postoperative facial paralysis were followed up until total recovery or defective healing by repeated EMG examinations. RESULTS: Seventy-nine superficial and 21 total parotidectomies were performed. Histological analysis found pleomorphic adenoma in 38 patients, cystadenolymphoma in 39, and chronic parotitis in 18. Immediate postoperative facial paralysis was evident in 41 patients. Six patients had permanent paralysis; in this group definitive defective healing was detected by EMG in five cases. EMG was not classifiable in one case. Intraoperative EMG monitoring had no significant effect on immediate postoperative or definitive facial outcome (P =.23 and P = .45, respectively). The duration of superficial, but not of a total parotidectomy, was diminished in the EMG group (P = .02 and P = .61, respectively). This result was independent of the specimen's histology. CONCLUSIONS: EMG monitoring in parotid surgery in addition to visual facial observation did not diminish either the incidence of postoperative facial paralysis or the final facial outcome. Nevertheless, the duration of surgery for superficial parotidectomy could be reduced by using EMG monitoring.",2009,PubMed,The Laryngoscope,"This is a prospective clinical trial published in 2009 that collected original intraoperative EMG data from human participants to assess its utility in parotid surgery, meeting all inclusion criteria.",96,"51 males, 45 females","Mean 52.4 ± 15.0 years, ranging from 10 to 89 years.",Not reported,Germany,"Participant demographic data, including total sample size, gender, and age, was located in the first paragraph of the 'RESULTS' section. The country of study was identified from the author affiliations and the 'MATERIALS AND METHODS' section.","Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics",1,1,1,1,0,79
297,Effects of dynamic and static stretching on vertical jump performance and electromyographic activity.,"The results of previous research have demonstrated that static stretching (SS) can reduce muscular performance and that dynamic stretching (DS) can enhance muscular performance. The purpose of this study was to assess the effects of SS and DS on vertical jump (VJ) performance and electromyographic (EMG) activity of the m. vastus medialis. Eleven healthy men (age 21 +/- 2 years) took part in 3 conditions (no stretching [NS], SS, and DS), on separate occasions in a randomized, crossover design. During each condition, measurements of VJ height and EMG activity during the VJ were recorded. A repeated-measures analysis of variance and post hoc analysis indicated that VJ height was significantly less (4.19 +/- 4.47%) after SS than NS (p < 0.05) and significantly greater (9.44 +/- 4.25%) in DS than SS (p < 0.05). There was significantly greater EMG amplitude in the DS compared with the SS (p < 0.05). The results demonstrated that SS has a negative influence on VJ performance, whereas DS has a positive impact. Increased VJ performance after DS may be attributed to postactivation potentiation, whereas the reduction in VJ performance after SS may be attributable to neurological impairment and a possible alteration in the viscoelastic properties of the muscular tendon unit (MTU). This investigation provides some physiological basis for the inclusion of DS and exclusion of SS in preparation for activities requiring jumping performance.",2009,PubMed,Journal of Strength and Conditioning Research,This is a primary empirical study from 2009 investigating the effects of stretching on muscle activity in human participants using surface EMG as a core data collection modality.,11,11 men,Mean 21 ± 2 years,Not reported,United Kingdom,Participant demographic information was found in the 'Subjects' subsection of the 'METHODS' section. Race and ethnicity were not mentioned in the paper.,"Clinical & Diagnostic, Biomechanics & Kinematics, Sports & Ergonomics",0,1,0,0,0,4
298,Novel and direct access to the human locomotor spinal circuitry.,"The degree of automaticity of locomotion in primates compared with other mammals remains unclear. Here, we examine the possibility for activation of the spinal locomotor circuitry in noninjured humans by spinal electromagnetic stimulation (SEMS). SEMS (3 Hz and 1.3-1.82 tesla) at the T11-T12 vertebrae induced involuntary bilateral locomotor-like movements in the legs of individuals placed in a gravity-neutral position. The formation of locomotor-like activity during SEMS started with a latency of 0.68 +/- 0.1 s after delivering the first stimulus, unlike continuous vibration of muscles, which requires several seconds. The first EMG burst in response to SEMS was observed most often in a proximal flexor muscle. We speculate that SEMS directly activates the circuitry intrinsic to the spinal cord, as suggested by the immediate response and the electrophysiological observations demonstrating an absence of strictly time-linked responses within the EMG burst associated with individual stimuli during SEMS. SEMS in the presence of vibration of the leg muscles was more effective in facilitating locomotor-like activity than SEMS alone. The present results suggest that SEMS could be an effective noninvasive clinical tool to determine the potential of an individual to recover locomotion after a spinal cord injury, as well as being an effective rehabilitation tool itself.",2010,PubMed,Journal of Neuroscience,"The study is a primary empirical research article from 2010 that uses surface EMG as a core modality to investigate locomotor-like movements in healthy human participants, meeting all inclusion criteria.",65,mixed gender,Mean 24 years,Not reported,Russia,"Demographic information was found in the 'Materials and Methods' section under the 'Experimental subjects' subsection. This section provides the total number of participants, describes the gender mix, states the mean age, and identifies the study location.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy",0,1,0,0,0,0
299,Immediate effects of a high-velocity spine manipulation in paraspinal muscles activity of nonspecific chronic low-back pain subjects.,"High-velocity spinal manipulation is commonly adopted for treating chronic low-back pain (CLBP) and has been associated with changes in muscle activity, but the evidence is controversial. The aim of this study was to analyse the immediate effects of high-velocity spine manipulation on paraspinal activity during flexion-extension trunk movements. Forty nonspecific CLBP patients were randomised into two groups, manipulation (n = 20) and control (n = 20). While the manipulation group received high-velocity spine manipulation at the L4-L5 level, the control group remained lying in the same position. EMG-related variables, perceived pain intensity (100 mm VAS) and finger-floor distance were collected before and after spinal manipulation at the L4-L5 level. EMG surface signals from the right and left paraspinal muscles (L5-S1 level) were acquired during trunk flexion-extension cycles. EMG activity during the static relaxation phase was significantly reduced following intervention for the manipulation group but not for the control group. The extension-phase EMG activity was also reduced after manipulation, but the flexion-phase EMG levels remained unchanged. Accordingly, the percent changes in FRR and ERR were significantly larger for the manipulation group compared to the control. The results suggest that a high-velocity spinal manipulation is able to acutely reduce abnormal EMG activity during the full-flexion static phase and activation during the extension phase.",2010,PubMed,Manual Therapy,"The paper is a peer-reviewed, English-language primary empirical study from 2010 that uses surface EMG as a core modality to investigate the effects of spinal manipulation in human subjects with chronic low-back pain, meeting all inclusion criteria.",40,"13 Males, 27 Females","Mean 26.5 ± 8.27 years (control group), Mean 29.5 ± 9.64 years (manipulation group); Inclusion criteria range: 18-55 years",Not reported,Brazil,"Participant demographics including total sample size, gender breakdown, and mean age per group were found in the 'Results' section and Table 1. The age range was part of the inclusion criteria in the 'Methods' section. Race and ethnicity were not mentioned.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics",1,1,1,0,0,37
300,Physical performance and electromyographic responses to an acute bout of paired set strength training versus traditional strength training.,"The objective of this study was to investigate the acute effects of performing paired set (PS) vs. traditional set (TS) training over 3 consecutive sets on volume load (VL) and electromyographic (EMG) activity of the pectoralis major, anterior deltoid, latissimus dorsi, and trapezius muscles. Following a familiarization session 16 trained males performed 2 testing protocols using 4 repetition maximum loads: TS (3 sets of bench pull [Bpull] followed by 3 sets of bench press [Bpress] performed in approximately 20 minutes) or PS (3 sets of Bpull and 3 sets of Bpress performed in an alternating manner in approximately 10 minutes). Bpull and Bpress VL decreased significantly from set 1 to set 2 and from set 2 to set 3 under both conditions. There was no difference between VL per set, or over the sessions, between the 2 conditions. PS was determined to be more efficient (VL/time) as compared to TS. EMG activity of the 4 monitored muscles was not different for the 2 conditions or within each condition over the 3 sets. However, there was a significant within-set response in EMG activity in the Bpress exercise. The data suggest that a 4-minute rest interval between sets may not be adequate to maintain VL using either protocol. The data further suggest that PS training may be as effective as TS training in terms of VL maintenance and more effective in terms of efficiency. The comparison of EMG activity between the PS and TS protocols suggests that the level of neuromuscular fatigue does not differ under the 2 conditions. PS training would appear to be an effective method of exercise with respect to VL maintenance and efficiency.",2010,PubMed,Journal of Strength and Conditioning Research,This is an original empirical study on human participants published in 2010 that uses surface EMG as a core outcome measure to compare two training protocols.,16,16 Males,Mean 23.8 ± 5.2 years,Not reported,"Australia, Canada",Participant demographic information was found in the 'Subjects' section and detailed in Table 1. Race and ethnicity were not mentioned in the paper.,"Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics",0,1,0,0,0,10.4
301,Oxycodone and dexamethasone for pain management after tonsillectomy: a placebo-controlled EMG assessed clinical trial.,"BACKGROUND: Surface electromyographic (sEMG) study of post-tonsillectomy swallow-evoked muscular reactions was performed in order to evaluate the efficacy and safety of oxycodone and dexamethasone in pain management after tonsillectomy. MATERIAL/METHODS: 90 randomly chosen operated adults were divided into three groups. Group 1 (n = 30) was treated with OxyContin (Oxycodone) injections; Group 2 (n = 30) was treated with Dexacort (Dexamethasone), and Group 3 (n = 30) was a placebo group. Pain assessment included visual analogue scale (VAS) pain score and the EMG data like the timing, electric amplitude and graphic patterns of muscular activity during deglutition. We investigated masseter, infrahyoid and submental-submandibular muscles. Records from trapezius muscle were used for control. The results were compared with previously established normative database. The patients were tested 24 h after surgery. The sEMG data were compared with VAS pain score with regard to changes in clinical condition of the patients. RESULTS: Analgesia with oxycodone smoothed the recorded sEMG swallow peaks and increases time of deglutition. Dexamethasone normalized muscular activity in deglutition in cases with edema as detected by the EMG records. Statistically significant difference in muscle reactions was detected between the two Groups and the placebo group. CONCLUSIONS: Application of oxycodone significantly reduces the postoperative pain. Application of dexamethasone after tonsillectomy is advisable because of the reduction of postoperative morbidity while the reduction of the postoperative pain is secondary to the reduction of edema. SEMG might be used as an adjunctive measure of pain behavior via assessment of muscular reactions to pain and to analgesia.",2011,PubMed,Medical Science Monitor,"The paper is a primary empirical research study (randomized controlled trial) on human participants published in 2011, and it uses surface EMG as a core data collection modality to assess pain, thus meeting all inclusion criteria.",90,Group 1 (n=30): 17 women and 13 men; Group 2 (n=30): 16 women and 14 men; Group 3 (n=30): 15 women and 15 men.,"Group 1: Mean 21.6 years, range 18-39 years; Group 2: Mean 20.2 years, range 18-34 years; Group 3: Mean age 21.3 years.",Not reported,Israel,"Participant demographics including total sample size, age, and gender were found broken down by study group in the 'Subjects' subsection of the 'Material and Methods' section. Race or ethnicity was not reported.","Clinical & Diagnostic, HCI & Prosthetics",1,1,1,0,0,21
